headline,date_and_time,details
فیفا ورلڈکپ: ایرانی ٹیم کی مظاہروں کی حمایت، قومی ترانہ پڑھنے سے انکار,اپ ڈیٹ 22 نومبر 2022,ایران کی فٹ بال ٹیم نے فیفا ورلڈکپ میں انگلینڈ کے خلاف میچ سے قبل قومی ترانہ پڑھنے سے انکار کر دیا کیونکہ اسلامی ملک میں لوگوں نے ٹیم پر الزام عائد کیا تھا کہ وہ ملک میں جاری احتجاج کے خلاف پُرتشدد ریاستی کریک ڈاؤن کی حمایت کر رہی ہے۔
"ٹی20 ورلڈ کپ فائنل: جیت کس کی ہوگی؟ پاکستان، انگلینڈ یا بارش؟
",اپ ڈیٹ 12 نومبر 2022,تو ہر طرح کی اگر اور مگر کو ایک طرف رکھتے ہوئے پاکستان اور انگلینڈ کی ٹیمیں 2022 کے ٹی20 ورلڈ کپ کا فائنل کھیلنے کے لیے میلبرن پہنچ چکی ہیں۔ جس وقت عالمی کپ کا آغاز ہوا تھا تو شاید ہی کسی نے یہ توقع کی تھی کہ فائنل ان دونوں ٹیموں کے مابین کھیلا جائے گا۔
آئیے، 2022ء کے ورلڈ کپ فائنل سے پہلے 1992ء کے فائنل کو یاد کرتے ہیں!,اپ ڈیٹ 12 نومبر 2022,پاکستان بلآخر آئی سی سی ٹی20 ورلڈ کپ 2022ء کا فائنل کھیلنے جارہا ہے۔ اس ٹورنامنٹ میں پاکستان کا سفر 1992ء کے کرکٹ ورلڈ کپ سے بہت زیادہ مشابہت رکھتا ہے۔
"قدرت کے نظام نے اس کا ساتھ دیا جس نے اچھا کھیلا!
", 13 نومبر 2022,ایک ایسی ٹیم جس کے اوپنرز کا اسٹرائیک ریٹ اتنا ہی بڑا مسئلہ تھا جتنا مڈل آرڈر بیٹسمینوں کی مسلسل ناکامی، پھر پہلے 2 میچوں میں آخری گیند پر شکست، پھر تیسرے میچ میں پاور پلے کے اختتام تک 4 وکٹوں کا گر جانا، ان حالات میں بھلا کسے خبر تھی کہ ایسی ٹیم کسی نہ کسی طرح ٹی20 ورلڈکپ کے فائنل تک پہنچ جائے گی۔ 
سعودی ولی عہد نے اچانک دورۂ پاکستان ملتوی کیوں کردیا؟,اپ ڈیٹ 16 نومبر 2022,سعودی ولی عہد شہزادہ محمد بن سلمان نے اپنا دورہ ایشیا منسوخ کردیا ہے، لیکن سوال یہ پیدا ہوتا ہے کہ وہ ایشیا کی طرف دیکھ کیوں رہے ہیں؟
"ٹی20 ورلڈ کپ میں بننے والے کچھ دلچسپ ریکارڈز پر ایک نظر
", 15 نومبر 2022,آسٹریلیا میں تقریباً ایک ماہ تک جاری رہنے والے 8ویں آئی سی سی مینز ٹی20 ورلڈ کپ کا شاندار میلہ دلچسپ مراحل سے گزرتے ہوئے بالآخر 13 نومبر کو میلبرن میں اختتام کو پہنچا۔ 
فیفا ڈائری (پہلا دن): میں نے قطر پہنچتے ہی کیا دیکھا؟,اپ ڈیٹ 19 نومبر 2022,اس سلسلے کی بقیہ اقساط 
کیا ’ہائبرڈ‘ کے بعد ’پراکسی‘ حکومت کا تجربہ ہورہا ہے؟,اپ ڈیٹ 18 نومبر 2022,    
نواز شریف اور صدارتی پویلین کا کھیل, 18 نومبر 2022,    
فیفا ڈائری (دوسرا دن): قطریوں کو ورلڈ کپ کا بخار آخر کب چڑھے گا؟,اپ ڈیٹ 24 نومبر 2022,اس سلسلے کی بقیہ اقساط 
فیفا ڈائری (تیسرا دن): سہولیات دینے میں قطر نے روس کو بھی پیچھے چھوڑ دیا,اپ ڈیٹ 22 نومبر 2022,اس سلسلے کی بقیہ اقساط 
ریاست ابوظبی: جسے دنیا ابھی ٹھیک سے جانتی ہی نہیں,اپ ڈیٹ 22 نومبر 2022,جب 15 سال پہلے ہم پاکستان سے ابوظبی کے لیے نکلے تھے تو ہمارے بھی دل میں بہت قلق تھا کہ دبئی کیوں نہیں جارہے۔ ابوظبی کا تو کبھی نام تک نہیں سنا۔ ہوگی کوئی بیکار سی ریاست۔ لیکن جب وہاں گئے، رہے اور اسے برتا تو جانا کہ یہ تو ایک ایسی ریاست ہے جسے دنیا اچھی طرح سے ابھی جانتی بھی نہیں۔
آرمی چیف کی تقرری: ایسی صورتحال تو پہلے کبھی نہیں دیکھی,اپ ڈیٹ 23 نومبر 2022,    
امریکی اور چینی صدر کے درمیان ہونے والی حالیہ ملاقات اہم کیوں ہے؟, 23 نومبر 2022,    
"پاکستان سمیت کئی ممالک میں واٹس ایپ سروس 2 گھنٹے بعد بحال
",اپ ڈیٹ 25 اکتوبر 2022,پاکستان سمیت دنیا بھر میں واٹس ایپ کی سروسز تقریباً 2 گھنٹے تک معطل رہنے کے بعد بحال ہوگئی۔
"پاکستان میں محدود صارفین کے لیے ٹوئٹر کا ’ایڈٹ بٹن‘ متعارف
", 27 اکتوبر 2022,مائکرو بلاگنگ ویب سائٹ ٹوئٹر نے دنیا کے دیگر ممالک کی طرح پاکستان کے محدود صارفین کو ایڈٹ بٹن تک رسائی دے دی۔
"’ہواوے نووا‘ کا مڈرینج فون متعارف
", 01 نومبر 2022,چینی موبائل کمپنی ’ہواوے‘ نے گزشتہ سال متعارف کرائے گئے ’وائے‘ سیریز کا مڈرینج فون متعارف کرادیا۔
صارفین کی بڑی تعداد کو سست انٹرنیٹ سروس کا سامنا, 03 نومبر 2022,بین الاقوامی سب مرین کیبل میں خرابی کے باعث کراچی کے سیکڑوں صارفین کو انٹرنیٹ سروس میں سست روی سامنا کرنا پڑا۔
"ٹوئٹر پر آئندہ ہفتے سے ماہانہ 8 ڈالر فیس عائد کیے جانے کا امکان
", 03 نومبر 2022,مائکرو بلاگنگ ویب سائٹ ٹوئٹر کے نئے مالک ایلون مسک نے پلیٹ فارم کا کنٹرول سنبھالتے ہی اعلان کیا تھا کہ ویب سائٹ پر موجود ویریفائڈ اکاؤںٹس کو ماہانہ 20 ڈالر تک فیس دینی پڑے گی، تاہم بعد ازاں انہوں نے تنقید کے بعد فیس کو کم کرکے 8 ڈالر کردیا تھا۔
"واٹس ایپ پر ’کمیونٹیز‘ فیچر متعارف
", 04 نومبر 2022,دنیا کی سب سے بڑی انسٹنٹ میسیجنگ ایپلی کیشن واٹس ایپ پر متعدد چیٹ گروپس کو ایک ہی باکس میں رکھنے کا فیچر ’کمیونٹیز‘ پیش کردیا گیا۔
"ذہن کو پڑھ کر الفاظ بتانے والی مشین کا کامیاب تجربہ
",اپ ڈیٹ 10 نومبر 2022,امریکی ماہرین نے بولنے کی صلاحیت سے محروم افراد کو زبان دینے کے لیے بنائی گئی کمپیوٹرائزڈ ڈیوائس پر مفلوج انسان کے دماغ سے الفاظ کو نکالنے اور ان الفاظ کو دوسرے لوگوں تک پہنچانے کا کامیاب تجربہ کرلیا۔
موبائل کے استعمال سے زندگی آسان ہوگئی، سروے میں 63 فیصد پاکستانیوں کی رائے, 10 نومبر 2022,ٹیلی نورایشیا کی جانب سے کیے گئے سروے میں انکشاف ہوا ہے کہ 63 فیصد پاکستانیوں کا خیال ہے کہ موبائل آلات اور موبائل ٹیکنالوجی نے ان کی حالات زندگی، روزگار اور صلاحیتوں کو نکھارنے میں مثبت کردار ادا کیا ہے۔
"ماہانہ فیس کے عوض ٹوئٹر پر بلیو ٹک فراہم کرنے کی سروس چند دن بعد معطل
", 14 نومبر 2022,ٹوئٹر کی جانب سے ماہانہ 8 ڈالر کے عوض بلیو ٹک فراہم کرنے کی سروس متعارف ہونے کے چند دن بعد ہی معطل کردی گئی۔
ناسا کا اب تک کا سب سے طاقتور راکٹ چاند پر روانہ,اپ ڈیٹ 16 نومبر 2022,ناسا نے اب تک کا سب سے طاقت ور راکٹ چاند کی طرف روانہ کردیا ہے جو کہ خلائی ایجنسی کے نئے فلیگ شپ پروگرام آرٹیمس کا حصہ ہے۔
بھارت: نجی طور پر تیار کردہ راکٹ کا کامیاب تجربہ,اپ ڈیٹ 19 نومبر 2022,بھارت کی نجی کمپنی نے نجی سطح پر تیار کردہ راکٹ کامیابی کے ساتھ فضا میں لانچ کرلیا، جس کو بھارت کی تجارتی خلائی صنعت بنانے کی کوششوں میں بڑی پیش رفت قرار دی جارہی ہے۔
’ٹرمپ کا ٹوئٹر اکاؤنٹ بحال کیا جائے یا نہیں؟‘ ایلون مسک کا صارفین سے سوال, 19 نومبر 2022,ٹوئٹر کے نئے مالک ایلون مسک نے صارفین سے ووٹنگ کے ذریعے سوال پوچھا کہ کیا سابق صدر ڈونلڈ ٹرمپ کا ٹوئٹر اکاؤنٹ بحال کیا جائے یا نہیں؟
رئیل می کے دو ’پرو‘ فونز متعارف, 19 نومبر 2022,چینی موبائل کمپنی ’رئیل می‘ نے صارفین کا انتظار ختم کرتے ہوئے اپنے دو بجٹ فونز کو پیش کردیا۔
ٹوئٹر پر ماہانہ فیس کا منصوبہ عارضی طور پر مؤخر,اپ ڈیٹ 23 نومبر 2022,ٹوئٹر کے نئے مالک ایلون مسک نے واضح کیا ہے کہ ماہانہ فیس کے عوض ٹوئٹر بلیو کی سروس کا فیچر کچھ عرصے تک موخر کیا جا رہا ہے، تاکہ اسے بہتر انداز میں بنا کر پیش کیا جا سکے۔
روس، یوکرین کے ایک دوسرے پر ’نیوکلیئر پاور پلانٹ‘ پر گولہ باری کے الزامات,اپ ڈیٹ 21 نومبر 2022,ماسکو اور کیف نے ایک دوسرے پر جنوبی یوکرین میں روس کے زیر کنٹرول جوہری پاور پلانٹ کی حدود میں گولہ باری کے الزامات لگائے۔
’ امریکا کے لیے پاکستان علاقائی اتحادی، بھارت اہم پارٹنر ہے’,اپ ڈیٹ 21 نومبر 2022,جنوبی ایشیائی ممالک کے ساتھ اپنے تعلقات کی وضاحت کرتے ہوئے امریکی محکمہ خارجہ نے کہا ہے کہ ہمارے لیے بھارت ایک اہم عالمی پارٹنر ہے جب کہ پاکستان حساس خطے میں قابل قدر شراکت دار ہے۔
21 ممالک کا بھارت پر ’مذہبی آزادی‘ کو یقینی بنانے پر زور,اپ ڈیٹ 21 نومبر 2022,کم از کم 21 ممالک نے بھارت پر زور دیا ہے کہ وہ مذہبی آزادی اور مذہبی اقلیتوں کے حقوق کے تحفظ کی صورتحال کو بہتر کرے۔
چین میں کووڈ پابندیاں مزید سخت، بیجنگ میں پارک، شاپنگ مال اور عجائب گھر بند,اپ ڈیٹ 22 نومبر 2022,چین میں کورونا وائرس کے بڑھتے ہوئے کیسز کے پیش نظر بیجنگ میں پارک، شاپنگ مال اور عجائب گھر بند کردیے گئے ہیں جس کے بعد معیشت کی جلد بحالی کے امکانات پر ایک مرتبہ پھر خطرات منڈلانے لگے ہیں۔
یروشلم: 2 بم دھماکوں میں ایک شخص ہلاک، 14 زخمی,اپ ڈیٹ 23 نومبر 2022,مقبوضہ بیت المقدس (یروشلم) کے دو الگ الگ مقامات پر بم دھماکوں میں ایک شخص ہلاک اور 14 افراد زخمی ہوگئے، دھماکوں میں یروشلم کے بس اسٹیشنز کو نشانہ بنایا گیا ہے۔
امریکا: ورجینیا کے سپر اسٹور میں فائرنگ سے مسلح شخص سمیت متعدد افراد ہلاک,اپ ڈیٹ 23 نومبر 2022,پولیس نے کہا ہے کہ امریکی ریاست ورجینیا کے چیسپیک میں واقع وال مارٹ سپر اسٹور میں ایک بندوق بردار شخص نے فائرنگ کرکے 10 کے قریب افراد کو ہلاک اور متعدد کو زخمی کردیا، فائرنگ کرنے والا واحد ملزم بھی ہلاک ہوگیا۔
امریکا میں خام تیل کے اسٹاک میں کمی، خام تیل کی قیمت بڑھ کر 90 ڈالر فی بیرل ہوگئی,اپ ڈیٹ 24 نومبر 2022,چین میں کم طلب کے خدشات کے باوجود امریکا میں خام تیل کے اسٹاک میں توقع سے زیادہ کمی کے سبب عالمی منڈی میں خام تیل کی قیمتیں بڑھ کر 90 ڈالر فی بیرل کے قریب پہنچ گئیں۔
انڈونیشیا: دو دن سے ملبے تلے دبے چھ سالہ بچے کو معجزاتی طور پر بچا لیا گیا,اپ ڈیٹ 24 نومبر 2022,انڈونیشیا میں آنے والے تباہ کن زلزلے کے دو دن بعد ملبے کے نیچے سے چھ سالہ بچے کو معجزاتی طور پر زندہ نکال لیا گیا۔
افغانستان: 11 مرد اور 3 خواتین کو جرائم ثابت ہونے پر کوڑوں کی سزا,اپ ڈیٹ 25 نومبر 2022,کابل میں افغان عدالت کے حکم پر 11 مردوں اور 3 خواتین کو کوڑے مارے گئے۔
جدہ میں شدید بارشوں سے دو افراد ہلاک، اسکول بند، فلائٹس التوا کا شکار, 25 نومبر 2022,سعودی عرب کے ساحلی شہر جدہ سمیت مغربی علاقوں میں شدید بارشوں کے نتیجے میں کم از کم دو افراد ہلاک ہو گئے اور بارشوں کے سبب سڑکیں زیر آب آنے کے سبب اسکول بند اور فلائٹس ملتوی کردی گئی ہیں۔
وزیراعظم شہباز شریف کل 2 روزہ سرکاری دورے پر ترکیہ روانہ ہوں گے، دفتر خارجہ,اپ ڈیٹ 24 نومبر 2022,وزیراعظم شہباز شریف ترکیہ کے صدر رجب طیب اردوان کی دعوت پر 2 روزہ دورے پر کل روانہ ہوں گے۔
کراچی: لیجنڈ کامیڈین اسمٰعیل تارا انتقال کرگئے,اپ ڈیٹ 25 نومبر 2022,لیجنڈ کامیڈین اسمٰعیل تارا کراچی میں گردے فیل ہونے کے باعث 73 برس کی عمر میں انتقال کرگئے۔
’اُمید ہے نئے آرمی چیف فوج کو سیاست سے دور رکھنے کیلئے عملی اقدامات کریں گے‘,اپ ڈیٹ 25 نومبر 2022,ارکان قومی اسمبلی کی جانب سے جنرل عاصم منیر کو نئے چیف آف آرمی اسٹاف کی نامزدگی پر مبارک بار پیش کی گئی اور امید ظاہر کی کہ وہ فوج کو سیاست سے دور رکھنے کے لیے عملی اقدامات کریں گے۔
اسٹیٹ بینک کے ذخائر کم ہو کر 7 ارب 80 کروڑ ڈالر رہ گئے,اپ ڈیٹ 25 نومبر 2022,18 نومبر کو ختم ہونے والے ہفتے کے دوران اسٹیٹ بینک آف پاکستان کے زرمبادلہ کے ذخائر میں مزید 13 کروڑ 40 لاکھ ڈالر کی کمی ہوگئی جس کے بعد اس کے پاس موجود ذخائر 7 ارب 80 کروڑ ڈالر رہ گئے۔
حکومتی تشدد کے نتیجے میں ڈی چوک کی جانب پیش قدمی کا فیصلہ کیا تھا، عمران خان,اپ ڈیٹ 25 نومبر 2022,سپریم کورٹ میں توہین عدالت کیس کی سماعت  میں پی ٹی آئی چیئرمین عمران خان نے تیسری بار جمع کرواتے ہوئے کہا کہ  پارٹی کے 25 مئی کو اسلام آباد میں ہونے والے احتجاج کے دوران  ڈی چوک کی طرف بڑھنے کا فیصلہ حکومتی تشدد کے نتیجہ میں کیا۔
فوجی تعیناتیوں میں مداخلت کرنے پر شیری رحمٰن کی پی ٹی آئی پر تنقید,اپ ڈیٹ 25 نومبر 2022,وفاقی وزیر موسمیاتی تبدیلی شیری رحمٰن نے نئے آرمی چیف کے تقرر کے عمل میں مداخلت پر پاکستان تحریک انصاف (پی ٹی آئی) کو شدید تنقید کا نشانہ بنایا۔
استنبول: میلجم کارویٹ خیبر کا افتتاح، وزیراعظم کی دفاعی پیداوار میں اضافے کی تجویز,اپ ڈیٹ 25 نومبر 2022,وزیراعظم شہباز شریف نے ترکیہ کے صدر رجب طیب اردوان کے ہمراہ استنبول میں پاک بحریہ کے جہاز میلجم کارویٹ خیبر کا افتتاح کیا اور دونوں ممالک کو مل کر دفاعی پیداواری صلاحیت میں اضافے کی تجویز دی۔
"سبکدوش سی جے سی ایس سی جنرل ندیم رضا کے اعزاز میں الوداعی تقریب
",اپ ڈیٹ 26 نومبر 2022,			
غذائی اجناس کی قیمتوں میں اضافے سے ہفتہ وار مہنگائی کی شرح 30.16 فیصد,اپ ڈیٹ 25 نومبر 2022,بنیادی غذائی اجناس بشمول پیاز، ٹماٹر اور دالوں کی قیمتوں میں ہوش ربا اضافے سے سالانہ بنیاد پر 24 نومبر کو ختم ہونے والے ہفتے میں مہنگائی کی شرح بڑھ کر 30.16 فیصد تک پہنچ گئی ہے۔
’میرا دل یہ پکارے آجا‘ فیم ٹک ٹاکر کے ندا یاسر کے شو میں ڈانس کے چرچے,اپ ڈیٹ 25 نومبر 2022,گزشتہ چند دن سے انٹرنیٹ پر اپنے بے ترتیب ڈانس اسٹیپس سے لوگوں کو دیوانہ بنانے والی ٹک ٹاکرعائشہ عرف مانو کے ندا یاسر کے مارننگ شو میں گروپ ڈانس کی بھی ویڈیوز وائرل ہوگئیں۔
فٹبال ورلڈ کپ: ایران نے ویلز کو شکست دے دی، میزبان قطر مسلسل دوسرے میچ میں ناکام,اپ ڈیٹ 26 نومبر 2022,فٹ بال ورلڈ کپ میں ایران نے ویلز اور سینیگال نے میزبان قطر کو باآسانی شکست دے دی۔
جرمنی: اسٹالین دور میں یوکرین میں بھوک سے ہونے والی ہلاکتیں ’نسل کشی‘ قرار دینے کی قرارداد,اپ ڈیٹ 25 نومبر 2022,جرمنی کے اراکین اسمبلی جوزف اسٹالین کے دور میں 1930  کی دہائی میں شدید بھوک سے لاکھوں یوکرینوں کی ہلاکت کو ’نسل کشی‘ قرار دینے کی  قرارداد منظور کرنے کے لیے تیار ہیں، ایسی زبان کیف کی جانب سے استعمال کی جاتی ہے۔
ایک ارب ڈالر بونڈ کی ادائیگی مقررہ وقت سے قبل 2 دسمبر کو ہوگی، گورنر اسٹیٹ بینک,اپ ڈیٹ 25 نومبر 2022,اسٹیٹ بینک کے گورنر جمیل احمد نے کہا ہے کہ ایک ارب ڈالر انٹرنیشنل بونڈ کی دوبارہ ادائیگی مقررہ تاریخ سے 3 روز قبل 2 دسمبر کو ہوگی۔
کراچی: مسلح افراد نے شہری سے گن پوائنٹ پر 50 ہزار ڈالر چھین لیے,اپ ڈیٹ 26 نومبر 2022,کراچی کے علاقے کلفٹن میں مسلح موٹرسائیکل سواروں نے شہری سے گن پوائنٹ پر 50 ہزار ڈالر اور دیگر قیمتی اشیا لوٹ لیے۔
لانگ مارچ ’حتمی مرحلے‘ میں داخل، عمران خان آج راولپنڈی جانے کیلئے تیار,اپ ڈیٹ 26 نومبر 2022,پاکستان تحریک انصاف(پی ٹی آئی) کے چیئرمین عمران خان نے کہا ہے کہ زخمی ہونے کے باوجود وہ قوم کی خاطر آج راولپنڈی جانے کے لیے پرعزم اور اپنی پارٹی کے لانگ مارچ کی قیادت کرنے کے لیے پوری طرح تیار ہیں۔
