Headline,Date and Time,Details
"Moroccans protest price hikes and ‘repression’
","December 5, 2022","RABAT: Thousands of protesters marched in Morocco’s capital Rabat on Sunday decrying the  “high cost of living and repression”, amid surging inflation and rising social discontent."
"Two killed as protesters, police clash in Syria
","December 5, 2022",BEIRUT: A protester and a policeman were killed on Sunday in Syria’s southern city of Sweida as security forces cracked down on a rare demonstration by hundreds against deteriorating living conditions.
"Thousands evacuated as volcano erupts on Java island
","December 5, 2022","JAKARTA: A volcano erupted in Indonesia on Sunday spewing a cloud of ash 15 km into the sky and forcing the evacuation of nearly 2,000 people, authorities said, as they issued their highest warning for the area in the east of Java island."
"India fact-checkers face threats, jail in misinformation fight","November 16, 2022","Hunched over laptops in small office cubicles, a group of Indian fact-checkers is on the frontlines of a war against misinformation, braving online abuse and legal threats."
"Endangered monarch butterflies inspire hopes of a comeback
","December 5, 2022",			
"After Imran rescinds offer for talks, PTI says lawmakers ‘preparing for elections’","December 4, 2022","A day after PTI chairman Imran Khan walked back his offer for talks with the government for snap polls, party leader Fawad Chaudhry said that the ex-premier “has directed [provincial] assembly members to return to their constituencies and prepare for the elections”."
PTI chairman’s politics weakens Pakistan: PM Shehbaz,"December 5, 2022",ISLAMABAD: Reacting to Pakistan Tehreek-i-Insaf (PTI) Chairman Imran Khan’s 
"Imran says his offer for talks ‘misread’
","December 4, 2022","• Withdraws ‘proposal’ to sit with PDM, says suggestion was made in view of national interest"
"Iran protesters call for strike, prosecutor says morality police shut down","December 4, 2022","Protesters in Iran called on Sunday for a three-day strike this week, stepping up pressure on authorities after the public prosecutor said the morality police whose detention of a young woman triggered "
US doubts Afghan Taliban’s ability to counter IS,"December 5, 2022",WASHINGTON: With the Foreign Office saying it was verifying reports about the militant Islamic State group’s claim that it had carried out 
"Punjab CM Elahi echoes son Moonis’ remarks, says Gen Bajwa nudged PML-Q towards PTI","December 4, 2022",Days after his son Moonis Elahi made a 
Tweets case: Quetta court remands Azam Swati in police custody for 5 days,"December 4, 2022","A district court in Quetta remanded PTI Senator Azam Swati in police custody for five days on Sunday, a week after the Federal Investigation Agency (FIA) arrested him in Islamabad in a case pertaining to controversial tweets against the military."
"Bilawal disputes ‘political failure’ narrative on 1971 debacle
","December 1, 2022",KARACHI: Exactly a week after former army chief Gen Qamar Javed Bajwa referred to the East Pakistan loss as a 
"Free or dependent?
","December 1, 2022","PAKISTAN does have an independent foreign policy. It is not a protectorate or a colony much less a slave; it is a sovereign country free to have its own foreign policy. Pakistan did have a choice, and exercised it freely, sometimes well, sometimes badly."
"Beijing relies on Pakistan to project its might, Pentagon report notes
","December 1, 2022","WASHINGTON: China relies on Pakistan for projecting its military and economic might as Islamabad remains a key Beijing ally, says the US Department of Defence."
‘The murder of an iconic song’: Ayushmann Khurrana and Malaika Arora’s ‘Aap Jaisa Koi’ remix receives flak online,"June 30, 2015",CANTERBURY: Australia coach Darren Lehmann made it clear he could not care less what England get up to during their four-day trip to Spain after his side launched their Ashes tour with a convincing win. 
"Amid uproar on social media, Netflix releases Jordanian film Farha on forced eviction of Palestinians in 1948","June 30, 2015","NAWABSHAH: Personnel of federal law enforcement agencies raided the Nawabshah-Sehwan transport stand a day earlier and took into custody seven passenger vans which were originally ambulances donated to the Sindh government during the 2012 floods, sources told Dawn on Monday.  "
"Wayward ideology
","December 2, 2022","INCREDIBLY, former prime minister Imran Khan has now placed the entire responsibility of resolving the ‘deficit of trust’ between the state and the nation squarely on the shoulders of the new military leadership."
"Our Dutch disease
","December 2, 2022","OUR economy is afflicted with several weaknesses one of which is Dutch disease. This economic malaise was first named by the Economist to describe the unfavourable impact in the Netherlands’ manufacturing sector — paradoxically, after the discovery and exploitation of huge gas reserves in the late 1950s."
"Soccer legend Pele under palliative care amid cancer battle
","December 4, 2022","SAO PAULO: Brazilian soccer legend Pele  is receiving palliative care after chemotherapy stopped having the  expected results as he battles colon cancer, newspaper Folha de S. Paulo  reported on Saturday. "
"Protest-hit Iran says reviewing mandatory headscarf law
","December 4, 2022","TEHRAN: Iran said on Saturday it is reviewing a decades-old law that requires women to cover their heads, as it struggles to quell more than two months of protests linked to the dress code."
"UK, Greece in ‘secret talks’ on Parthenon Marbles
","December 4, 2022","ATHENS: The British Museum and the Greek prime minister are in the  “advanced stage” of  “secret talks” over the  “possible return” of the Parthenon Marbles, local media reported on Saturday."
"Ukraine detains eight over Banksy mural theft
","December 4, 2022","KYIV: Ukraine has detained eight people over the theft from a wall in the Kyiv suburbs of a mural painted by elusive British street artist Banksy, the authorities said."
"Chinese astronauts return from space station
","December 5, 2022","BEIJING: Three Chinese astronauts safely returned to Earth on Sunday after six months aboard the Tiangong space station, state media quoted the country’s space agency."
"Iran executes four convicted of spying for Israel
","December 5, 2022",			
"Opec+ keeps output unchanged before fresh Russia curbs
","December 5, 2022","VIENNA: Major oil-producing countries, led by Saudi Arabia and Russia, agreed on Sunday to maintain their current output levels in a climate of uncertainty and ahead of fresh sanctions against Moscow coming into force on Monday (today)."
"Saudi Arabia to host China-Arab summit during Xi visit
","December 1, 2022","RIYADH: Saudi Arabia plans to host a Chinese-Arab summit on Dec 9 attended by Chinese President Xi Jinping during his visit to the kingdom, three Arab diplomats in the region familiar with the plans said on Wednesday."
Modi urges unity on ‘greatest challenges’ as India assumes G20 presidency,"December 1, 2022","India Prime Minister Narendra Modi said on Thursday that the world must cooperate to tackle the greatest challenges of “climate change, terrorism, and pandemics” as India began its year-long presidency of the Group of 20 (G20)."
