Headline,Date and Time,Details
"India’s men’s and women’s teams to receive equal pay, says cricket board’s Jay Shah","June 29, 2015","ISLAMABAD: Before the metro buses and the urban development projects, in the days that Islamabad was still a homely little town located along the foothills of the Margallas, growing one’s own food was considered quite commonplace among its residents."
"Former Pakistan captain Ali Nawaz Baloch passes away
","October 29, 2022","KARACHI: It was poignant that it was at the ground where he put in some of his best performances, which took Ali Nawaz Baloch from a precocious talent to a goal-scoring legend, that the departing prayers for him were said."
"Playing last in group stage an advantage for England, says Buttler
","October 30, 2022",MELBOURNE: England cricket captain Jos Buttler said his team retained an advantage playing last in the final round of group matches at the Twenty20 World Cup as they will know exactly what is needed in terms of net run rate to reach the semi-finals.
"Bangladesh edge Zimbabwe in last-ball thriller at T20 World Cup
","October 30, 2022","Bangladesh got their Twenty20 World Cup back on track on Sunday with a thrilling last-ball win over Zimbabwe, aided by opener Najmul Shanto's maiden half-century and Taskin Ahmed's three wickets."
"US faces ‘acute threats’ from Russia, but sees China as main challenge
","October 28, 2022","WASHINGTON: Russia’s invasion of Ukraine highlights the  “acute threats” posed by Moscow, but China is the most consequential challenge for the United States, the US military said in a statement of its overall strategy released on Thursday."
"Qatar protests to Germany over minister’s World Cup comments
","October 29, 2022",DOHA: Qatar summoned Germany’s ambassador on Friday to protest comments made by a minister casting doubt on whether the Gulf state should host the football World Cup.
"New York police say extremists could pose threat as mid-term election nears
","October 29, 2022","NEW YORK: The New York police department has called for “elevated vigilance” in the run-up to US mid-term elections, warning that extremists could target political events and polling sites, the agency said in an internal bulletin."
"Defiant Iranians hit the streets again to protest crackdown
","October 29, 2022",PARIS: Iranians took to the streets around the country again on Friday to protest against the killings of youths in a widely documented crackdown on demonstrations sparked by 
"Pro-PTI protester held near Nawaz’s home in London
","October 29, 2022","LONDON: A young man was detained and later released by Scotland Yard on Friday when Pakistan Tehr­eek-i-Insaf activists protested outside Avenfield House, the residence of PML-N supremo Nawaz Sharif."
"Guantanamo’s oldest inmate returns to Pakistan, without trial
","October 30, 2022","ISLAMABAD / WASHINGTON: The Gua­n­tánamo detention camp’s oldest prisoner Saifullah Paracha, a Pakistani businessman, has returned after spending nearly two decades in jail, without trial."
"Move to put UN spotlight on protests in Iran
","October 30, 2022","UNITED NATIONS: The United States will next week put the United Nations spotlight on protests in Iran sparked by the death of a young woman in police custody and look for ways to promote credible, independent investigations into Iranian human rights abuses."
"Hate speech, online extremism fed Pelosi attack, believe terror experts
","October 30, 2022","WASHINGTON: The frequent targeting of US House Speaker Nancy Pelosi by online extremists and political opponents likely contributed to the violent attack on her husband Paul, terrorism and extremism experts said."
"South Korea mourns, wants answers after Halloween crush kills 153","October 30, 2022","Shocked family members collected bodies, parents searched for children and a country sought answers on Sunday after at least 153 people were "
"SBP chief assures market of timely foreign debt repayments
","October 28, 2022",KARACHI: State Bank of Pakistan (SBP) Governor Jameel Ahmad said on Thursday the country will meet all foreign debt obligations on time.
"Elon Musk's Twitter ownership starts with firings, uncertainty
","October 28, 2022","Elon Musk became Twitter Inc's owner on Thursday, firing top executives and providing little clarity over how he will achieve the lofty ambitions he has outlined for the influential social media platform."
"Shares at PSX plunge 462 points on fears of political instability as PTI begins long march
","October 28, 2022","Stocks continued to fall for the third consecutive day on Friday, with analysts attributing the slump to the PTI's "
"EU to ban carbon-emitting vehicles by 2035
","October 29, 2022","BRUSSELS: The European Union on Thursday struck an agreement on legislation to phase out new CO2-emitting vehicles by 2035, negotiators announced."
"Oil giants’ massive profits revive calls for windfall taxes
","October 29, 2022","LONDON: Global energy giants including ExxonMobil Corp and Chevron Corp posted another round of huge quarterly profits, benefiting from surging natural gas and fuel prices that have boosted inflation around the world and led to fresh calls to further tax the sector."
"Pakistan needs at least $16.3bn for post-flood rehab: report
","October 29, 2022","ISLAMABAD: Putting the flood damage and loss estimates at over $30 billion (around Rs6.5 trillion), leading international agencies have warned of a substantial increase in poverty levels, widening fiscal and external account deficits amid political and economic instability."
"Weekly inflation surges to record 4.13pc as energy, food prices spike
","October 29, 2022","ISLAMABAD: The weekly inflation, measured by the Sensitive Price Indicator (SPI), posted a record increase of 4.13 per cent for the combined income group on a week-on-week basis for the period ending Oct 27 mainly due to the highest-ever energy and food prices, according to data released by the Pakistan Bureau of Statistics (PBS) on Friday."
"Digital census on the back burner amid delayed funding
","October 30, 2022","ISLAMABAD: The launch of the country’s first-ever digital census seems to have been put on the back burner amid missed timelines by the government and a delay in approving funds in the last two meetings of the Economic Coordination Comm­ittee (ECC), sources have told "
"40pc children stunted, 2.5m acutely malnourished: WHO
","October 30, 2022",ISLAMABAD: Over 40pc of children aged five and below in Pakistan are stunted whereas 2.5 million children are “severely wasted” — acutely malnourished — according to the World Health Organisation (WHO).
"Pakistan Nuclear Regulatory Authority's institute becomes IAEA collaborating centre
","October 30, 2022","ISLAMABAD: The National Institute of Safety and Security (NISAS) of the Pakistan Nuclear Regulatory Authority (PNRA) has become a collaborating centre of the International Atomic Energy Agency (IAEA) for nuclear security education, training and technical support."
Unicef chief calls for scaling up humanitarian assistance for Pakistan’s flood victims,"October 30, 2022","The regional director of the United Nations International Fund for Children in Emergency (UNICEF), George Laryea-Adjei, on Sunday said that the flood devastation in Pakistan was massive by any scale as the agency alone was seeking $173.5 million for providing humanitarian assistance to the flood victims in post-disaster relief efforts."
PA ex-deputy speaker Dost Mazari remanded in Punjab ACE’s custody for 2 days,"October 30, 2022",A Lahore district court on Sunday approved a two-day physical remand of former Punjab Assembly deputy speaker Dost Mazari at the request of the Punjab Anti-Corruption Establishment (ACE) following his 
"Shehbaz claims Imran contacted him over COAS selection
","October 30, 2022",LAHORE: Prime Min­ister Shehbaz Sharif claimed on Saturday that PTI Chairman Imran Khan through a mutual friend contacted him regarding the appointment of new army chief one month ago and offered him nominating three each potential candidates for the post but he refused to sit with him.
"SC summons Senate opposition leader on Azam Swati’s torture claims
","October 31, 2022",ISLAMABAD: The Supreme Court has summoned Senate’s Opposition Leader Dr Shahzad Waseem on Monday (today) over his letter regarding the alleged torture on PTI Senator Azam Swati in custody.  
"Sana vows to take ‘audio of Gandapur’ to court
","October 31, 2022",ISLAMABAD/DERA ISMAIL KHAN: Interior Minister Rana Sanaullah on Sunday announced he would move court over the 
"Lebanon’s Aoun leaves presidential palace as political crisis deepens
","October 31, 2022","BAABDA: Lebanon’s outgoing head of state, Michel Aoun, vacated the presidential palace on Sunday, cheered on by thousands of his loyal supporters, a day before his mandate expires without a designated successor."
"Pakistan, UAE conduct bilateral naval exercise in Arabian Sea
","October 31, 2022","KARACHI: The Pakistan and UAE navies conducted a bilateral exercise titled Nasl Al Bahr-IV that featured advanced naval operations, including a practical demonstration of live weapons firings (LWF)."
"Inquiry team records statements in Arshad murder probe
","October 31, 2022",ISLAMABAD: The investigation into the 
"Biden votes early in US elections
","October 31, 2022","WILMINGTON: President Joe Biden cast his ballot in the US midterms on Saturday, participating in early voting ahead of elections that could cost his Democrats their Congressional majority."
"Pro-democracy protests spread across Sudan
","October 31, 2022","KHARTOUM: Security forces firing tear gas confronted pro-democracy demonstrators across Sudan on Sunday, correspondents and witnesses said."
"Strange design of Orange Line’s ‘dedicated’ track baffles commuters in Karachi
","October 31, 2022",KARACHI: The Orange Line Bus Rapid Transit (BRT) project has been creating plenty of problems after taking to the road.  
"Punjab Police mulls policy to regulate transfers, postings of officers
","October 31, 2022",LAHORE: The Punjab Police is considering a proposal to regulate the transfer/posting criteria for the field officers to avoid ‘random selection’ of the blue-eyed officers for certain offices. 
"PTI mulls moving high court amid delay in NOC for Islamabad sit-in
","October 31, 2022",ISLAMABAD: The Pakistan Tehreek-i-Insaf (PTI) has decided to approach the Islamabad High Court (IHC) amid a “deliberate delay” in the issuance of a no-objection certificate (NOC) by the administration to the former ruling party for its long march expected to reach the capital on Nov 4.
"PKR reverses downward trend, gains Rs1.58 against dollar in interbank","October 31, 2022","After falling against the dollar for three consecutive sessions, the PKR reversed the trend on Monday."
Elon Musk says Twitter will revise how it verifies users,"October 31, 2022","Twitter will revise its user verification process, Elon Musk said in a tweet on Sunday, just days after he "
"Pakistan wants to expand trade, investment ties with China: PM Shehbaz","October 31, 2022",Prime Minister Shehbaz Sharif has said that Pakistan wants to expand trade and investment ties with China ahead of his first official visit to the neighbouring country.
"Why do Pakistani brands advertise at all?
","November 15, 2014",BRISBANE: The World Trade Organisation said on Friday there was a “high probability” that a major deal on streamlining global customs rules will be implemented within two weeks after India and the United States overcame a key impasse.
Headline,Date and Time,Details
"On defence ministry's request, govt constitutes commission to probe journalist Arshad Sharif's killing
","October 31, 2022","The federal cabinet, on the request of the Ministry of Defence, has approved the constitution of a three-member commission to ""inquire into the facts"" of the "
"Pakistan wants to expand trade, investment ties with China: PM Shehbaz","October 31, 2022",Prime Minister Shehbaz Sharif has said that Pakistan wants to expand trade and investment ties with China ahead of his first official visit to the neighbouring country.
England face four must-win games to win World Cup: Collingwood,"October 31, 2022","England is now playing knockout cricket after a weather-disrupted campaign, declared assistant coach Paul Collingwood on Monday, and are targeting four wins to lift the T20 World Cup, starting with New Zealand in Brisbane."
World food supplies at risk as Russia withdraws from Black Sea deal,"October 31, 2022",Russia’s weekend backtrack from a United Nations-brokered 
"Contempt case: In reply to SC, Imran says was unaware of undertaking by PTI to not congregate at D-Chowk on May 25","October 31, 2022","Former prime minister Imran Khan on Monday submitted a reply to the Supreme Court in connection with a contempt petition filed against him by the government, saying that he was not aware of any undertaking submitted by his party on his behalf that the May 25 “Azadi March” would not proceed to D-Chowk."
Ayaz Sadiq given additional portfolio of law and justice,"October 31, 2022","Economic Affairs Minister Sardar Ayaz Sadiq was given the additional portfolio of law and justice on Monday, a week after PML-N Senator Azam Nazeer Tarar "
Husband of reporter killed in PTI long march foregoes pursuing legal action,"October 31, 2022","The husband of reporter Sadaf Naeem, who was "
Finch’s 63 leads Australia to victory over Ireland at T20 World Cup,"October 31, 2022",Australia got their Twenty20 World Cup defence back on track with a 42-run win over Ireland at the Gabba in Brisbane on Monday.
"Alarmed by KU suicide attack, China and Pakistan work together on probe","October 31, 2022",It was the kind of attack authorities had dreaded.
"Lula wins Brazil’s bitter presidential vote, Bolsonaro silent","October 31, 2022","Brazilian president-elect Luiz Inacio Lula da Silva called for “peace and unity” after narrowly winning a divisive runoff election Sunday, capping a remarkable political comeback by defeating far-right incumbent Jair Bolsonaro — who has yet to accept defeat."
Sindh govt approves Rs5m each as compensation for Machhar Colony lynching victims,"October 31, 2022",The Sindh government on Monday approved Rs5 million compensation for each of the two 
Oil slips as China Covid curbs outweigh concerns over US output,"October 31, 2022","Oil prices fell on Monday on concerns that widening Covid-19 curbs in China will curtail demand, offsetting signs that output at the top United States shale field is losing steam."
"Death toll from bridge collapse in India's Gujarat rises to 132, search on for missing
","October 31, 2022","The death toll from a bridge collapse in Gujarat in India rose to 132, a local government official told "
"The perpetual loop
","October 28, 2022","FOR all that changes in the country, the khaki-coloured reality TV show that is power politics is on a perpetual loop. Individual characters can and do evolve, but the storyline inevitably comes back to the self-proclaimed uniformed guardians of the state."
"Negotiating at Sharm El Sheikh
","October 28, 2022","IN a few days, the otherwise sleepy beach resort of Sharm El Sheikh will be buzzing with intense activity as delegates, scientists and diplomats descend upon the city to take part in this year’s United Nations Climate Change Conference also known as "
"Fate of an amazing plan
","October 30, 2022","IT was always about controlling the narrative, the creation and propagation of information, whether facts or alternative facts, to achieve the goals of undermining, discrediting representative political entities, to massively erode their popular support, and to present an image of perfection, even if a mirage, as a ready replacement."
"Sunak’s rise to PM
","October 29, 2022",RISHI Sunak 
"Pakistan: the way forward?
","October 28, 2022","MUCH seems to have changed in Pakistan in the last year or so. A lot more people are a lot more concerned about where we are and, more importantly, where we are headed — if we are indeed headed anywhere as a nation and country."
"Comment: Pakistan face improbable path to the semi-final
","October 31, 2022",PAKISTAN are alive but barely kicking in this year’s World T20 after a 
"Imran leads in vote count for Kurram's NA-45 constituency
","October 30, 2022",The PTI was in the lead as per unofficial results after polling concluded for the by-election in Kurram's NA-45 constituency on Sunday.
Did you know Fawad Khan’s kidneys collapsed during his physical transformation for Maula Jatt?,"June 29, 2015",LAHORE: The Pakistan Tehreek-i-Insaf (PTI) leaders on Sunday expressed optimism that the power in Punjab would soon be with the PTI and agreed that the party leadership must follow the carrot-and-stick policy to ensure merit and transparency within the party.
"COMMENT: Zimbabwe exploit Pakistan’s batting woes in shock win
","October 28, 2022",			
"‘Blank cheque’ companies — risky or innovative?
","October 31, 2022","In the global capital markets, the latest trend is the glut issuance of ‘bank cheques’ or special purpose acquisition company (SPAC) initial public offerings (IPO). From a niche market in 2003, SPACs have eclipsed previous records by fetching gross proceeds of $162.53 billion by December 2021. There have been 613 SPACs till Dec 2021 as acceptance of this financial vehicle surges into other international markets, continuing the SPAC odyssey."
Pakistani prisoner Saifullah Paracha released from Guantanamo Bay after 18 years,"October 29, 2022","Saifullah Paracha, a Pakistani prisoner detained at the Guantanamo Bay detention centre, arrived in Pakistan on Saturday following his release from the US military prison after more than 18 years, the Foreign Office (FO) said in a statement."
"Imran begins long march with guns aimed at spy chief
","October 29, 2022","• Ex-PM says ISI DG delivered ‘political presser’, conveniently ignored ‘group of thieves’"
"Imran’s response
","October 30, 2022","THE gloves are well and truly off in the showdown between the state and the PTI, and the security establishment will find that it only has itself to blame for exposing the spy chief to the trenchant criticism now being levelled against him by former prime minister Imran Khan."
"Imran claims only ‘lies and half-truths’ spoken in ‘foolish’ press conference of ISI, ISPR chiefs","October 29, 2022",PTI chief Imran Khan has dubbed the recent 
"T20 World Cup: Pakistan look to bounce back in Zimbabwe clash today
","October 27, 2022",PERTH: Pakistan seek to revive their T20 World Cup campaign here on Thursday when they play their second group match against Zimbabwe.
"T20 World Cup: Rossouw blasts century as South Africa crush Bangladesh by 104 runs
","October 27, 2022",Rilee Rossouw blasted 109 and shared in a record-breaking stand with Quinton de Kock as South Africa crushed Bangladesh to kickstart their Twenty20 World Cup title charge in Sydney on Thursday.
Virat Kohli stars again as ominous India thrash Netherlands in T20 World Cup,"October 27, 2022",Virat Kohli smashed a second successive half-century as India thrashed the Netherlands by 56 runs on Thursday to put themselves in a strong position at the Twenty20 World Cup.
"Four Pakistan players to feature in Asian squash
","October 28, 2022","ISLAMABAD: Four Pakistan players will feature in the 21st Asian Squash Team Championship for Men & Women to be held at Cheongju International Squash Stadium, Korea from Oct 31 to Nov 4."
"Qatar World Cup organisers hit back at Australia rights criticism
","October 28, 2022","DOHA: Qatar’s World Cup organisers on Thursday hit back at criticism of the Gulf state’s rights record by the Australian football team, insisting that  “no country is perfect”."
"Former Pakistan captain Ali Nawaz Baloch passes away
","October 29, 2022","KARACHI: It was poignant that it was at the ground where he put in some of his best performances, which took Ali Nawaz Baloch from a precocious talent to a goal-scoring legend, that the departing prayers for him were said."
"All to play for after Australia, England clash washed out
","October 29, 2022","MELBOURNE: A  highly anticipated clash between Australia and England at the Twenty20  World Cup was abandoned without a ball being bowled because of rain on  Friday in Melbourne, leaving their group wide open."
"Zimbabwe’s T20 win against Pakistan proves one thing — the curse of the Bean is real
","June 29, 2015",ISLAMABAD: A man and two of his grandchildren were killed and another two grandsons seriously injured as they crossed the Faisal Avenue on Sunday morning.
"Bangladesh edge Zimbabwe in last-ball thriller at T20 World Cup
","October 30, 2022","Bangladesh got their Twenty20 World Cup back on track on Sunday with a thrilling last-ball win over Zimbabwe, aided by opener Najmul Shanto's maiden half-century and Taskin Ahmed's three wickets."
Fans want Shadab Khan not to take Zimbabwe loss so hard after video of him allegedly crying goes viral,"June 29, 2015",SWABI: The focus of the contesting candidates has shifted to the women voters after the announcement of Election Commission of Pakistan to hold re-election at 15 polling stations for women and two for men in nine union councils here in Swabi district on July 5. 
"Qatar protests to Germany over minister’s World Cup comments
","October 29, 2022",DOHA: Qatar summoned Germany’s ambassador on Friday to protest comments made by a minister casting doubt on whether the Gulf state should host the football World Cup.
"‘Unprecedented’ power cuts planned in Kyiv
","October 29, 2022","KYIV: “Unprecedented” power cuts will be introduced in the region surrounding Ukraine’s capital Kyiv due to damage caused by Russian strikes on energy infrastructure, the local energy operator said on Friday."
"Defiant Iranians hit the streets again to protest crackdown
","October 29, 2022",PARIS: Iranians took to the streets around the country again on Friday to protest against the killings of youths in a widely documented crackdown on demonstrations sparked by 
"Israeli forces kill two more Palestinians
","October 29, 2022","NABLUS: Two Palesti­n­ians were killed on Friday by Israeli forces in the occupied West Bank, the Palest­inian health ministry said."
"US House Speaker Nancy Pelosi's husband violently assaulted; suspect held
","October 29, 2022","SAN FRANCISCO: US House of Representatives Speaker Nancy Pelosi’s husband Paul Pelosi was assaulted during a break-in at their San Francisco home early on Friday and a suspect has been arrested, authorities said."
"South Africa crowns new Zulu king at mega party
","October 30, 2022",DURBAN: A new Zulu King was formally enthroned as the head of South Africa’s most influential traditional monarchy at a colourful ceremony on Saturday attended by tens of thousands.
"45 killed as tropical storm lashes Philippines
","October 30, 2022",DATU SINSUAT: Severe Tropical Storm Nalgae whipped the Philippines on Saturday after unleashing flash floods and landslides that officials said left at least 45 people dead.
"Xi invokes Mao in visit to cradle of Communist revolution
","October 30, 2022","BEIJING: Dressed in matching navy windbreakers and flanking President Xi Jinping, China’s freshly appointed top leadership this week made their first group outing to the Communist Party’s  “holy land”."
"Russia suspends Ukraine grain export deal
","October 30, 2022",• Move follows drone attacks on ships in Crimea
"SBP chief assures market of timely foreign debt repayments
","October 28, 2022",KARACHI: State Bank of Pakistan (SBP) Governor Jameel Ahmad said on Thursday the country will meet all foreign debt obligations on time.
"Elon Musk's Twitter ownership starts with firings, uncertainty
","October 28, 2022","Elon Musk became Twitter Inc's owner on Thursday, firing top executives and providing little clarity over how he will achieve the lofty ambitions he has outlined for the influential social media platform."
Apple earnings rise as economic gloom hits tech,"October 28, 2022","Apple Inc on Thursday reported revenue and profit that topped Wall Street targets, one of the few bright spots in a tech sector battered by spending cutbacks due to inflation."
"EU to ban carbon-emitting vehicles by 2035
","October 29, 2022","BRUSSELS: The European Union on Thursday struck an agreement on legislation to phase out new CO2-emitting vehicles by 2035, negotiators announced."
"China economic slowdown to drag on growth in Asia: IMF
","October 29, 2022","BEIJING: China’s  “sharp and uncharacteristic” economic slowdown is expected to drag on growth across Asia through the end of next year, the International Mone­­tary Fund (IMF) warned on Friday, darkening an already gloomy global outlook."
"PSO quarterly profit plunges 90pc
","October 29, 2022","KARACHI: Profitability of Pakistan State Oil Company Ltd (PSO) dropped 90 per cent year-on-year in July-September to Rs1.2 billion, a stock notice showed on Friday."
"$10bn Saudi investment on the cards, says PM
","October 29, 2022",ISLAMABAD: Prime Minister She­h­­baz Sharif on Friday said Saudi Crown Prince Mohammed bin Salman bin Abdu­laziz Al-Saud would soon be visiting Pakistan during which he would anno­unce a $10 billion investment for est­a­blishing an oil refinery in the country.
"Pakistan needs at least $16.3bn for post-flood rehab: report
","October 29, 2022","ISLAMABAD: Putting the flood damage and loss estimates at over $30 billion (around Rs6.5 trillion), leading international agencies have warned of a substantial increase in poverty levels, widening fiscal and external account deficits amid political and economic instability."
"Pakistan needs to remove key irritants for agri marketing: WB
","October 30, 2022","ISLAMABAD: A new World Bank report says Pakistan’s agricultural marketing is wasteful due to a number of constraints such as poor infrastructure, high market margins, poor post-harvest management and non-implementation of grades and standards."
"No relief for Adiala jail juveniles despite IHC order
","October 30, 2022","ISLAMABAD: Days after the directives of the Islamabad High Court (IHC) chief justice for the immediate release of children detained in Adiala jail, the human rights ministry has failed to end the incarceration of the under-trial juvenile prisoners “for lack of funds to submit surety bonds”, "
"Pakistan Nuclear Regulatory Authority's institute becomes IAEA collaborating centre
","October 30, 2022","ISLAMABAD: The National Institute of Safety and Security (NISAS) of the Pakistan Nuclear Regulatory Authority (PNRA) has become a collaborating centre of the International Atomic Energy Agency (IAEA) for nuclear security education, training and technical support."
Unicef chief calls for scaling up humanitarian assistance for Pakistan’s flood victims,"October 30, 2022","The regional director of the United Nations International Fund for Children in Emergency (UNICEF), George Laryea-Adjei, on Sunday said that the flood devastation in Pakistan was massive by any scale as the agency alone was seeking $173.5 million for providing humanitarian assistance to the flood victims in post-disaster relief efforts."
"Jirga refuses to back military operation, form peace force
","October 31, 2022",LOWER DIR: A grand jirga of elders and politicians from all parts of Malakand division dec­lared on Sunday that “we shall neither form a peace force” to combat militants nor would “we support any military operation”.
"SC summons Senate opposition leader on Azam Swati’s torture claims
","October 31, 2022",ISLAMABAD: The Supreme Court has summoned Senate’s Opposition Leader Dr Shahzad Waseem on Monday (today) over his letter regarding the alleged torture on PTI Senator Azam Swati in custody.  
"98pc fields in Sindh ready for cultivation after floods
","October 31, 2022","ISLAMABAD: As the wheat sowing season is progressing in full swing, the United Nations says 98 per cent of the total area for wheat cultivation in Sindh is now available for the next planting season, as people are preparing the land for the sowing season in areas where floodwater has receded. "
"Saudi Arabia to auction five mining licences
","October 31, 2022","RIYADH: Saudi Arabia is planning to auction five new mining exploration licences with copper, zinc, lead and iron deposits for local and international investors in 2023, the mining minister said on Sunday, as it diversifies the economy away from hydrocarbons."
"Brazil votes in ‘tense’ Lula vs Bolsonaro presidential runoff
","October 31, 2022",BRASILIA: A polarised Brazilian electorate began casting votes on Sunday in a knife-edge presidential runoff that pits far-right incumbent President Jair Bolsonaro against leftist former leader Luiz Inacio Lula da Silva. 
"Politics shadows stark realities after floods
","October 31, 2022","WASHINGTON: “All politics, no focus on flood victims,” complained a US scholar of Pakistani origin as media reports warned that Pakistan could soon face a major food crisis if the situation did not change."
